Filename, Average interval, Maximum Interval, Minimum Interval, Repeated Notes
0118.ls, 2.0588236, 5.0, 1.0, 0.0
0119.ls, 2.3846154, 7.0, 1.0, 0.0
0120.ls, 2.375, 7.0, 1.0, 0.0
0121.ls, 2.8461537, 7.0, 1.0, 0.0
0122.ls, 2.4375, 6.0, 1.0, 0.0
0123.ls, 2.7692308, 5.0, 1.0, 0.0
0124.ls, 2.7692308, 5.0, 1.0, 0.0
0125.ls, 3.0, 6.0, 1.0, 0.0
0126.ls, 4.25, 11.0, 1.0, 0.0
0127.ls, 2.5333333, 5.0, 1.0, 0.0
0128.ls, 2.3125, 5.0, 1.0, 0.0
0129.ls, 2.857143, 5.0, 1.0, 0.0
0130.ls, 2.1875, 7.0, 1.0, 0.0
0131.ls, 2.3888888, 6.0, 1.0, 0.0
0132.ls, 3.8181818, 5.0, 1.0, 0.0
0133.ls, 2.125, 4.0, 1.0, 0.0
0134.ls, 2.2941177, 5.0, 1.0, 0.0
0135.ls, 2.375, 4.0, 1.0, 0.0
0136.ls, 2.4375, 7.0, 1.0, 0.0
0137.ls, 2.5625, 5.0, 1.0, 0.0
0138.ls, 2.8125, 6.0, 1.0, 0.0
0139.ls, 2.9375, 7.0, 1.0, 0.0
0140.ls, 2.4117646, 5.0, 1.0, 0.0
0141.ls, 2.1111112, 4.0, 1.0, 0.0
0142.ls, 2.9375, 5.0, 1.0, 0.0
0143.ls, 2.625, 5.0, 1.0, 0.0
0144.ls, 2.7777777, 7.0, 1.0, 0.0
0145.ls, 2.9375, 6.0, 1.0, 0.0
0146.ls, 2.8125, 6.0, 1.0, 0.0
0147.ls, 2.4375, 7.0, 1.0, 0.0
0148.ls, 2.625, 6.0, 1.0, 0.0
0149.ls, 5.0, 9.0, 1.0, 0.0
0150.ls, 3.2307692, 7.0, 1.0, 0.0
0151.ls, 1.8571428, 3.0, 0.0, 1.0
0152.ls, 2.5333333, 5.0, 0.0, 1.0
0153.ls, 3.0, 7.0, 1.0, 0.0
0154.ls, 1.5625, 2.0, 1.0, 0.0
0155.ls, 2.5, 12.0, 0.0, 2.0
0156.ls, 2.4375, 9.0, 1.0, 0.0
0157.ls, 2.0555556, 9.0, 1.0, 0.0
0158.ls, 2.4705882, 5.0, 1.0, 0.0
0159.ls, 2.4285715, 4.0, 1.0, 0.0
0160.ls, 2.6666667, 12.0, 0.0, 1.0
0161.ls, 3.0833333, 8.0, 1.0, 0.0
0162.ls, 4.181818, 9.0, 1.0, 0.0
0163.ls, 2.7142856, 5.0, 1.0, 0.0
0164.ls, 2.6666667, 9.0, 1.0, 0.0
0165.ls, 2.125, 4.0, 0.0, 1.0
0166.ls, 3.8461537, 7.0, 0.0, 1.0
0167.ls, 3.1875, 9.0, 1.0, 0.0
0168.ls, 3.1818182, 9.0, 1.0, 0.0
0169.ls, 1.7857143, 3.0, 1.0, 0.0
0170.ls, 3.1333334, 7.0, 2.0, 0.0
0171.ls, 2.25, 3.0, 1.0, 0.0
0172.ls, 2.0555556, 4.0, 1.0, 0.0
0173.ls, 3.857143, 11.0, 1.0, 0.0
0174.ls, 2.5333333, 8.0, 1.0, 0.0
0175.ls, 2.1333334, 4.0, 1.0, 0.0
0176.ls, 3.1666667, 7.0, 1.0, 0.0
0177.ls, 4.0, 8.0, 1.0, 0.0
0178.ls, 3.6956522, 6.0, 1.0, 0.0
0179.ls, 3.3214285, 6.0, 1.0, 0.0
0180.ls, 3.6296296, 6.0, 1.0, 0.0
0181.ls, 3.1052632, 6.0, 1.0, 0.0
0182.ls, 3.2727273, 6.0, 1.0, 0.0
0183.ls, 3.4583333, 6.0, 1.0, 0.0
0184.ls, 3.2083333, 5.0, 1.0, 0.0
0185.ls, 3.6296296, 14.0, 1.0, 0.0
0186.ls, 3.4827585, 10.0, 1.0, 0.0
0187.ls, 3.7916667, 12.0, 1.0, 0.0
0188.ls, 3.5416667, 6.0, 1.0, 0.0
0189.ls, 3.4545455, 6.0, 1.0, 0.0
0190.ls, 3.5769231, 6.0, 1.0, 0.0
0191.ls, 3.0769231, 6.0, 1.0, 0.0
0192.ls, 3.652174, 6.0, 1.0, 0.0
0193.ls, 3.6206896, 6.0, 1.0, 0.0
0194.ls, 3.875, 11.0, 1.0, 0.0
0195.ls, 3.2608695, 6.0, 1.0, 0.0
0196.ls, 3.1363637, 6.0, 1.0, 0.0
0197.ls, 3.6153846, 7.0, 1.0, 0.0
0198.ls, 4.36, 16.0, 1.0, 0.0
0199.ls, 3.7857144, 6.0, 1.0, 0.0
0200.ls, 3.4615386, 6.0, 1.0, 0.0
0201.ls, 3.6111112, 6.0, 1.0, 0.0
0202.ls, 3.4, 6.0, 1.0, 0.0
0203.ls, 3.0, 6.0, 1.0, 0.0
0204.ls, 3.7307692, 6.0, 2.0, 0.0
0205.ls, 3.347826, 6.0, 1.0, 0.0
0206.ls, 2.6666667, 6.0, 1.0, 0.0
0207.ls, 3.25, 6.0, 1.0, 0.0
0208.ls, 3.9130435, 6.0, 1.0, 0.0
0209.ls, 4.0833335, 17.0, 1.0, 0.0
0210.ls, 3.5294118, 6.0, 1.0, 0.0
0211.ls, 2.9615386, 7.0, 1.0, 0.0
0212.ls, 4.0, 9.0, 1.0, 0.0
0213.ls, 2.5, 9.0, 1.0, 0.0
0214.ls, 3.2173913, 7.0, 1.0, 0.0
0215.ls, 2.8461537, 5.0, 1.0, 0.0
0216.ls, 2.0, 3.0, 1.0, 0.0
0217.ls, 3.5384614, 15.0, 1.0, 0.0
0218.ls, 2.6, 9.0, 1.0, 0.0
0219.ls, 3.2727273, 9.0, 1.0, 0.0
0220.ls, 3.0, 8.0, 1.0, 0.0
0221.ls, 2.392857, 10.0, 1.0, 0.0
